Date,GOLD
2019-11-15,16.57
2019-11-18,16.889999
2019-11-19,17.049999
2019-11-20,16.99
2019-11-21,16.639999
2019-11-22,16.49
2019-11-25,16.43
2019-11-26,16.860001
2019-11-27,16.700001
2019-11-29,16.799999
2019-12-02,16.889999
2019-12-03,17.280001
2019-12-04,17.030001
2019-12-05,17.16
2019-12-06,16.889999
2019-12-09,16.85
2019-12-10,17.139999
2019-12-11,17.620001
2019-12-12,17.559999
2019-12-13,17.58
2019-12-16,17.42
2019-12-17,17.389999
2019-12-18,17.93
2019-12-19,17.709999
2019-12-20,17.450001
2019-12-23,17.76
2019-12-24,18.309999
2019-12-26,18.360001
2019-12-27,18.370001
2019-12-30,18.610001
2019-12-31,18.59
2020-01-02,18.49
2020-01-03,18.57
2020-01-06,18.389999
2020-01-07,18.469999
2020-01-08,17.82
2020-01-09,17.6
2020-01-10,17.85
2020-01-13,17.450001
2020-01-14,17.559999
2020-01-15,17.9
2020-01-16,18.09
2020-01-17,17.950001
2020-01-21,18.35
2020-01-22,18.290001
2020-01-23,18.43
2020-01-24,18.709999
2020-01-27,18.620001
2020-01-28,18
2020-01-29,18.370001
2020-01-30,18.440001
2020-01-31,18.52
2020-02-03,18.280001
2020-02-04,18.02
2020-02-05,18.02
2020-02-06,18.35
2020-02-07,18.190001
2020-02-10,18.43
2020-02-11,18.440001
2020-02-12,18.41
2020-02-13,18.93
2020-02-14,19.719999
2020-02-18,20.58
2020-02-19,21
2020-02-20,20.77
2020-02-21,21.440001
2020-02-24,22.030001
2020-02-25,21.25
2020-02-26,21.09
2020-02-27,19.780001
2020-02-28,19.040001
2020-03-02,19.860001
2020-03-03,20.620001
2020-03-04,20.549999
2020-03-05,21.16
2020-03-06,21.23
2020-03-09,19.93
2020-03-10,19.870001
2020-03-11,18.790001
2020-03-12,16.879999
2020-03-13,15.67
2020-03-16,16.33
2020-03-17,17.709999
2020-03-18,15.88
2020-03-19,16.08
2020-03-20,15.88
2020-03-23,16.93
2020-03-24,19.5
2020-03-25,19.110001
2020-03-26,19.58
2020-03-27,19.24
2020-03-30,19.290001
2020-03-31,18.32
2020-04-01,18.870001
2020-04-02,19.85
2020-04-03,19.950001
