Date,Open,High,Low,Close,Adj Close,Volume
2020-11-15,9.1,9.32,9,9.08,9.08,43800
2020-11-14,9.1,9.32,9,9.08,9.08,43800
2020-11-13,9.1,9.32,9,9.08,9.08,43800
2020-11-12,8.74,9.05,8.73,8.98,8.98,20200
2020-11-11,9.02,9.02,8.22,8.73,8.73,15800
2020-11-10,8.6,9.22,8.6,8.86,8.86,43800
2020-11-09,9.1,9.23,8.29,8.5,8.5,39400
2020-11-08,9.26,9.5,8.82,8.9,8.9,43700
2020-11-07,9.26,9.5,8.82,8.9,8.9,43700
2020-11-06,9.26,9.5,8.82,8.9,8.9,43700
2020-11-05,8.43,9.25,8.43,9.05,9.05,104800
2020-11-04,8.46,8.46,8.11,8.19,8.19,21300
2020-11-03,8.3,8.59,8.3,8.35,8.35,14000
2020-11-02,8.1,8.3,8.01,8.3,8.3,18700
2020-11-01,8.33,8.38,8.06,8.11,8.11,13500
2020-10-31,8.33,8.38,8.06,8.11,8.11,13500
2020-10-30,8.33,8.38,8.06,8.11,8.11,13500
2020-10-29,8.22,8.32,8.12,8.3,8.3,25000
2020-10-28,8.6,8.6,8.13,8.22,8.22,31400
2020-10-27,8.6,8.72,8.3,8.72,8.72,17500
2020-10-26,8.68,8.68,8.33,8.44,8.44,16400
2020-10-25,8.75,8.75,8.59,8.68,8.68,8400
2020-10-24,8.75,8.75,8.59,8.68,8.68,8400
2020-10-23,8.75,8.75,8.59,8.68,8.68,8400
2020-10-22,8.89,8.89,8.59,8.75,8.75,17500
2020-10-21,8.53,8.9,8.34,8.9,8.9,39700
2020-10-20,8.62,8.66,8.41,8.56,8.56,25500
2020-10-19,8.58,8.71,8.41,8.6,8.6,21900
2020-10-18,8.6,8.78,8.58,8.64,8.64,15800
2020-10-17,8.6,8.78,8.58,8.64,8.64,15800
2020-10-16,8.6,8.78,8.58,8.64,8.64,15800
2020-10-15,8.8,8.8,8.47,8.61,8.61,57900
2020-10-14,9.01,9.16,8.61,8.76,8.76,86900
2020-10-13,8.95,9.25,8.85,9.19,9.19,26300
2020-10-12,9.58,9.61,8.82,8.98,8.98,61700
2020-10-11,9.07,9.75,9.06,9.61,9.61,48300
2020-10-10,9.07,9.75,9.06,9.61,9.61,48300
2020-10-09,9.07,9.75,9.06,9.61,9.61,48300
2020-10-08,8.9,9.09,8.83,9.05,9.05,14100
2020-10-07,8.94,9.06,8.73,8.8,8.8,14400
2020-10-06,8.6,8.85,8.6,8.76,8.76,28000
2020-10-05,8.71,8.94,8.54,8.55,8.55,35800
2020-10-04,8.72,9.05,8.65,8.8,8.8,32500
2020-10-03,8.72,9.05,8.65,8.8,8.8,32500
2020-10-02,8.72,9.05,8.65,8.8,8.8,32500
2020-10-01,9.19,9.23,8.75,8.84,8.84,54200
2020-09-30,9.21,9.5,9.14,9.2,9.2,21200
2020-09-29,9.47,9.75,9.18,9.27,9.27,38700
2020-09-28,9.35,9.77,9.35,9.54,9.54,25300
2020-09-27,9.53,9.54,8.8,9.2,9.2,56700
2020-09-26,9.53,9.54,8.8,9.2,9.2,56700
2020-09-25,9.53,9.54,8.8,9.2,9.2,56700
2020-09-24,8.77,9.68,8.12,9.51,9.51,106600
2020-09-23,9.57,9.61,8.98,9.06,9.06,76400
2020-09-22,10.2,10.28,9.69,9.74,9.74,85700
2020-09-21,10.65,10.7,10.2,10.2,10.2,101900
2020-09-20,11.15,11.19,10.6,10.6,10.6,47500
2020-09-19,11.15,11.19,10.6,10.6,10.6,47500
2020-09-18,11.15,11.19,10.6,10.6,10.6,47500
2020-09-17,11.46,11.5,11.06,11.21,11.21,53200
2020-09-16,11.38,11.98,11.29,11.6,11.6,77100
